1745612618979372 - DROP: Packet 54 at end of ingress (egress_spec == drop_port)
1745612618993259 - DROP: Packet 55 at end of ingress (egress_spec == drop_port)
1745612618994249 - DROP: Packet 55 at end of ingress (egress_spec == drop_port)
1745612618994381 - DROP: Packet 56 at end of ingress (egress_spec == drop_port)
1745612618995516 - DROP: Packet 56 at end of ingress (egress_spec == drop_port)
1745612619043799 - DROP: Packet 57 at end of ingress (egress_spec == drop_port)
1745612619043813 - DROP: Packet 57 at end of ingress (egress_spec == drop_port)
1745612619105536 - DROP: Packet 58 at end of ingress (egress_spec == drop_port)
1745612619105556 - DROP: Packet 58 at end of ingress (egress_spec == drop_port)
1745612619105592 - DROP: Packet 27 at end of ingress (egress_spec == drop_port)
1745612619105691 - DROP: Packet 59 at end of ingress (egress_spec == drop_port)
1745612619108676 - DROP: Packet 59 at end of ingress (egress_spec == drop_port)
1745612619120220 - DROP: Packet 60 at end of ingress (egress_spec == drop_port)
1745612619120252 - DROP: Packet 60 at end of ingress (egress_spec == drop_port)
1745612619132799 - DROP: Packet 61 at end of ingress (egress_spec == drop_port)
1745612619132961 - DROP: Packet 28 at end of ingress (egress_spec == drop_port)
1745612619171138 - DROP: Packet 61 at end of ingress (egress_spec == drop_port)
1745612619198358 - DROP: Packet 62 at end of ingress (egress_spec == drop_port)
1745612619198359 - DROP: Packet 62 at end of ingress (egress_spec == drop_port)
1745612619263029 - DROP: Packet 63 at end of ingress (egress_spec == drop_port)
1745612619325240 - DROP: Packet 63 at end of ingress (egress_spec == drop_port)
1745612619355263 - DROP: Packet 29 at end of ingress (egress_spec == drop_port)
1745612619355327 - DROP: Packet 64 at end of ingress (egress_spec == drop_port)
1745612619355327 - DROP: Packet 64 at end of ingress (egress_spec == drop_port)
1745612619355391 - DROP: Packet 30 at end of ingress (egress_spec == drop_port)
1745612619358665 - DROP: Packet 65 at end of ingress (egress_spec == drop_port)
1745612619358789 - DROP: Packet 66 at end of ingress (egress_spec == drop_port)
1745612619505338 - DROP: Packet 67 at end of ingress (egress_spec == drop_port)
1745612619505371 - DROP: Packet 31 at end of ingress (egress_spec == drop_port)
1745612619555804 - DROP: Packet 32 at end of ingress (egress_spec == drop_port)
1745612619555825 - DROP: Packet 68 at end of ingress (egress_spec == drop_port)
1745612619556882 - DROP: Packet 65 at end of ingress (egress_spec == drop_port)
1745612619559127 - DROP: Packet 69 at end of ingress (egress_spec == drop_port)
1745612619632375 - DROP: Packet 70 at end of ingress (egress_spec == drop_port)
1745612619632379 - DROP: Packet 66 at end of ingress (egress_spec == drop_port)
1745612619632381 - DROP: Packet 33 at end of ingress (egress_spec == drop_port)
1745612619632500 - DROP: Packet 71 at end of ingress (egress_spec == drop_port)
1745612619708466 - DROP: Packet 67 at end of ingress (egress_spec == drop_port)
1745612619709417 - DROP: Packet 34 at end of ingress (egress_spec == drop_port)
1745612619709437 - DROP: Packet 72 at end of ingress (egress_spec == drop_port)
1745612619709558 - DROP: Packet 73 at end of ingress (egress_spec == drop_port)
1745612619791692 - DROP: Packet 68 at end of ingress (egress_spec == drop_port)
1745612619792806 - DROP: Packet 35 at end of ingress (egress_spec == drop_port)
1745612619794123 - DROP: Packet 69 at end of ingress (egress_spec == drop_port)
1745612619855365 - DROP: Packet 36 at end of ingress (egress_spec == drop_port)
1745612619855370 - DROP: Packet 74 at end of ingress (egress_spec == drop_port)
1745612619919595 - DROP: Packet 75 at end of ingress (egress_spec == drop_port)
1745612619919667 - DROP: Packet 37 at end of ingress (egress_spec == drop_port)
1745612620175066 - DROP: Packet 70 at end of ingress (egress_spec == drop_port)
1745612620175130 - DROP: Packet 38 at end of ingress (egress_spec == drop_port)
1745612620239186 - DROP: Packet 76 at end of ingress (egress_spec == drop_port)
1745612620240223 - DROP: Packet 71 at end of ingress (egress_spec == drop_port)
1745612620305611 - DROP: Packet 72 at end of ingress (egress_spec == drop_port)
1745612620366746 - DROP: Packet 77 at end of ingress (egress_spec == drop_port)
1745612620749644 - DROP: Packet 78 at end of ingress (egress_spec == drop_port)
1745612620750625 - DROP: Packet 73 at end of ingress (egress_spec == drop_port)
1745612620750663 - DROP: Packet 39 at end of ingress (egress_spec == drop_port)
1745612620751984 - DROP: Packet 79 at end of ingress (egress_spec == drop_port)
1745612620752875 - DROP: Packet 74 at end of ingress (egress_spec == drop_port)
1745612620752904 - DROP: Packet 40 at end of ingress (egress_spec == drop_port)
1745612620753010 - DROP: Packet 75 at end of ingress (egress_spec == drop_port)
1745612620815230 - DROP: Packet 80 at end of ingress (egress_spec == drop_port)
1745612620815232 - DROP: Packet 41 at end of ingress (egress_spec == drop_port)
1745612620877535 - DROP: Packet 81 at end of ingress (egress_spec == drop_port)
1745612620878648 - DROP: Packet 42 at end of ingress (egress_spec == drop_port)
1745612621133429 - DROP: Packet 43 at end of ingress (egress_spec == drop_port)
1745612621133432 - DROP: Packet 76 at end of ingress (egress_spec == drop_port)
1745612621198861 - DROP: Packet 77 at end of ingress (egress_spec == drop_port)
1745612621198889 - DROP: Packet 82 at end of ingress (egress_spec == drop_port)
1745612621262599 - DROP: Packet 78 at end of ingress (egress_spec == drop_port)
1745612621325872 - DROP: Packet 83 at end of ingress (egress_spec == drop_port)
1745612621616362 - DROP: Packet 44 at end of ingress (egress_spec == drop_port)
1745612621616551 - DROP: Packet 79 at end of ingress (egress_spec == drop_port)
1745612621681342 - DROP: Packet 84 at end of ingress (egress_spec == drop_port)
1745612621709604 - DROP: Packet 80 at end of ingress (egress_spec == drop_port)
1745612621709680 - DROP: Packet 45 at end of ingress (egress_spec == drop_port)
1745612621709680 - DROP: Packet 85 at end of ingress (egress_spec == drop_port)
1745612621711924 - DROP: Packet 86 at end of ingress (egress_spec == drop_port)
1745612621744352 - DROP: Packet 46 at end of ingress (egress_spec == drop_port)
